|-----------|-------------
|iR  iG  iB | oR  oG  oB  
|-----------|-------------
|220 214 208| 73  131 127 
|166 166 168| 83  131 126 
|140 146 151| 91  131 125 
|161 161 163| 97  131 124 
|146 136 130| 97  131 124 
|162 138 123| 96  131 124 
|146 110 90 | 96  131 124 
|158 110 77 | 98  131 123 
|154 98  72 | 98  132 124 
|149 93  71 | 98  132 123 
|135 83  57 | 97  133 122 
|133 76  49 | 98  133 123 
|125 74  50 | 102 133 124 
|118 73  49 | 105 132 125 
|114 68  46 | 106 130 126 
|107 63  43 | 106 129 127 
|97  60  35 | 104 130 127 
|96  58  30 | 100 131 126 
|92  59  35 | 98  132 124 
|81  50  24 | 95  132 124 
|81  48  27 | 95  130 124 
|80  46  27 | 94  128 126 
|77  46  28 | 93  126 128 
|74  45  29 | 93  123 130 
|71  43  29 | 93  121 131 
|71  46  25 | 93  120 133 
|81  47  28 | 93  119 134 
|93  57  31 | 91  118 136 
|54  33  15 | 88  117 138 
|97  77  66 | 82  117 140 
|148 128 110| 77  114 142 
|118 97  73 | 70  114 145 
|110 89  66 | 11  122 135 
|134 123 117| 11  122 135 
|168 172 178| 11  122 135 
|136 141 149| 0   128 128 
|143 145 155| 3   126 131 
|113 122 130| 6   125 133 
|54  62  62 | 10  123 135 
|88  86  82 | 6   125 133 
|154 153 152| 5   126 131 
|126 127 132| 6   128 128 
|81  82  86 | 0   128 128 
|84  80  81 | 0   128 128 
|88  80  85 | 0   128 128 
|84  85  85 | 0   128 128 
|83  84  80 | 0   128 128 
|82  80  75 | 0   128 128 
|74  72  65 | 0   128 128 
|94  87  91 | 0   128 128 
|120 91  69 | 81  123 132 
|148 121 89 | 77  126 130 
|156 135 104| 74  126 129 
|141 129 105| 72  128 128 
|154 148 135| 70  128 128 
|199 197 186| 68  128 128 
|237 231 220| 65  129 127 
|239 237 232| 62  129 127 
|172 175 181| 60  130 129 
|121 132 137| 61  130 129 
|120 129 136| 62  131 129 
|171 174 175| 64  130 129 
|176 174 172| 67  131 128 
|190 188 185| 73  131 128 
|170 169 163| 81  131 128 
|196 193 196| 92  130 127 
|127 129 134| 99  130 125 
|125 127 122| 103 130 124 
|113 96  90 | 101 131 123 
|149 111 95 | 100 131 123 
|169 123 87 | 100 131 123 
|159 109 70 | 100 132 123 
|152 102 73 | 100 132 122 
|141 87  64 | 100 132 123 
|132 81  56 | 99  134 122 
|132 77  48 | 100 134 122 
|121 70  45 | 102 133 123 
|111 66  41 | 107 131 124 
|108 62  42 | 110 130 126 
|97  60  39 | 113 129 128 
|87  59  34 | 111 130 128 
|86  54  26 | 107 131 125 
|79  50  27 | 102 133 124 
|82  52  28 | 97  133 122 
|78  54  31 | 94  130 124 
|79  52  31 | 92  128 126 
|77  50  34 | 91  124 129 
|75  49  35 | 93  121 131 
|77  46  33 | 94  120 133 
|75  47  29 | 95  118 135 
|78  44  27 | 94  117 138 
|86  51  25 | 91  114 141 
|67  40  21 | 86  114 144 
|132 107 83 | 80  111 147 
|124 98  73 | 73  111 149 
|122 94  67 | 65  110 151 
|131 99  76 | 10  122 136 
|121 102 90 | 10  122 136 
|167 168 172| 10  122 136 
|147 153 159| 0   128 128 
|136 143 150| 3   127 130 
|146 157 166| 7   125 132 
|49  53  58 | 10  123 134 
|83  79  79 | 7   125 132 
|86  83  83 | 6   126 130 
|82  82  87 | 7   127 129 
|82  85  86 | 17  127 130 
|88  86  83 | 26  126 131 
|91  83  81 | 38  125 131 
|81  82  76 | 50  125 132 
|65  69  64 | 64  124 133 
|33  36  35 | 75  123 133 
|60  63  63 | 82  123 133 
|70  68  78 | 83  123 132 
|122 91  70 | 82  125 131 
|152 121 82 | 78  127 129 
|167 140 100| 75  128 128 
|146 127 91 | 71  128 128 
|114 97  81 | 68  129 127 
|112 101 83 | 66  130 127 
|152 141 125| 66  131 128 
|231 219 206| 67  132 127 
|224 220 219| 70  132 127 
|143 150 155| 73  132 127 
|128 134 142| 75  132 127 
|163 167 176| 74  132 127 
|147 151 151| 74  131 128 
|205 200 196| 76  130 129 
|201 203 197| 84  130 128 
|153 156 157| 94  130 127 
|170 163 166| 101 130 126 
|158 146 144| 104 131 125 
|119 93  82 | 104 131 124 
|175 129 98 | 103 131 124 
|171 119 88 | 103 131 123 
|161 106 79 | 102 132 123 
|148 93  67 | 100 132 122 
|144 90  65 | 98  133 123 
|136 82  62 | 98  133 123 
|120 72  45 | 100 132 122 
|105 62  38 | 103 132 123 
|97  60  36 | 107 131 125 
|93  58  36 | 113 128 128 
|83  56  33 | 117 128 129 
|82  56  33 | 115 129 128 
|83  54  32 | 109 131 126 
|78  54  29 | 102 132 123 
|83  49  27 | 95  132 122 
|76  50  28 | 91  129 124 
|71  49  28 | 88  126 127 
|70  46  30 | 88  123 130 
|70  44  31 | 90  119 133 
|73  44  31 | 92  117 136 
|73  46  29 | 92  115 140 
|73  44  28 | 90  113 144 
|80  43  23 | 85  111 148 
|84  52  30 | 79  110 151 
|161 133 102| 72  108 154 
|151 124 93 | 65  107 156 
|130 103 74 | 59  107 157 
|129 102 78 | 11  123 136 
|116 91  73 | 11  123 136 
|155 145 146| 11  123 136 
|162 169 176| 0   128 128 
|137 143 146| 3   127 130 
|149 151 161| 7   125 132 
|94  98  109| 10  123 134 
|59  62  65 | 7   125 132 
|79  81  78 | 6   126 130 
|84  84  81 | 8   127 129 
|81  82  78 | 19  125 131 
|81  80  77 | 30  125 131 
|76  67  69 | 43  124 133 
|38  37  36 | 54  123 133 
|54  55  61 | 66  122 133 
|130 133 144| 74  123 133 
|168 171 179| 80  123 133 
|89  87  100| 82  125 131 
|120 88  66 | 83  127 130 
|155 120 82 | 80  128 128 
|160 135 93 | 75  129 128 
|142 125 86 | 69  129 128 
|120 93  77 | 66  130 128 
|128 102 82 | 68  130 127 
|112 88  66 | 71  132 127 
|124 101 82 | 75  132 127 
|158 146 133| 79  133 127 
|179 174 168| 82  133 127 
|176 175 180| 82  133 127 
|132 141 151| 80  133 127 
|147 153 152| 77  131 129 
|211 201 194| 77  130 129 
|205 203 195| 82  130 129 
|105 120 115| 91  130 128 
|161 159 157| 99  130 126 
|119 91  84 | 103 131 125 
|153 116 95 | 105 131 125 
|176 129 89 | 107 131 124 
|168 118 86 | 109 131 123 
|160 106 86 | 108 131 123 
|148 96  69 | 105 131 123 
|141 92  62 | 102 132 124 
|121 75  53 | 102 132 124 
|103 62  44 | 103 132 124 
|91  59  38 | 106 131 125 
|84  63  32 | 110 130 126 
|86  61  35 | 117 128 128 
|89  60  45 | 121 127 130 
|87  59  43 | 119 128 129 
|82  53  34 | 111 130 126 
|73  48  31 | 102 132 124 
|71  45  30 | 95  131 123 
|71  44  29 | 90  129 126 
|75  51  33 | 88  125 129 
|70  48  31 | 88  120 133 
|70  49  35 | 90  116 137 
|67  46  33 | 90  113 142 
|68  46  31 | 89  110 146 
|70  45  33 | 84  108 151 
|75  43  31 | 79  105 155 
|80  46  19 | 73  105 157 
|160 128 88 | 67  104 159 
|152 122 86 | 61  104 161 
|127 97  72 | 56  105 161 
|125 103 76 | 10  123 135 
|130 102 79 | 10  123 135 
|131 110 102| 10  123 135 
|176 179 181| 0   128 128 
|139 146 152| 3   127 130 
|140 143 154| 7   125 132 
|150 153 162| 10  123 134 
|49  51  56 | 7   125 132 
|75  80  74 | 6   126 131 
|81  82  77 | 9   127 130 
|70  70  76 | 21  125 131 
|39  40  44 | 33  123 132 
|54  52  56 | 47  121 134 
|132 129 140| 58  120 135 
|167 165 178| 69  120 135 
|164 162 175| 76  121 134 
|158 158 163| 81  123 132 
|140 143 151| 85  126 130 
|116 83  64 | 86  128 128 
|147 116 83 | 84  130 128 
|157 134 97 | 78  129 127 
|145 127 89 | 71  130 127 
|120 94  82 | 69  130 128 
|130 103 83 | 72  130 129 
|130 101 79 | 78  131 128 
|134 103 80 | 82  131 129 
|119 96  75 | 85  132 127 
|123 106 91 | 85  133 127 
|170 158 154| 84  133 127 
|149 152 155| 80  132 128 
|142 146 147| 77  130 129 
|214 207 200| 75  130 129 
|228 212 208| 79  130 129 
|164 160 161| 87  129 128 
|131 133 128| 96  128 128 
|133 114 100| 101 130 126 
|171 131 105| 106 130 126 
|177 133 98 | 111 130 125 
|167 124 97 | 114 130 125 
|156 108 88 | 114 130 125 
|147 99  73 | 111 130 124 
|122 77  50 | 107 131 124 
|110 69  50 | 106 131 125 
|98  63  45 | 107 131 126 
|92  61  42 | 111 130 127 
|93  65  41 | 116 128 128 
|101 66  46 | 122 126 130 
|100 66  50 | 125 125 131 
|85  58  43 | 120 127 129 
|85  53  37 | 112 129 127 
|84  57  41 | 102 131 125 
|86  58  48 | 94  130 126 
|80  51  39 | 90  126 128 
|83  54  38 | 89  122 133 
|87  59  41 | 89  117 138 
|84  59  43 | 89  113 144 
|78  55  38 | 88  109 148 
|76  54  36 | 84  106 153 
|71  50  37 | 79  104 157 
|68  46  35 | 73  103 161 
|62  33  15 | 69  101 162 
|144 114 79 | 64  102 162 
|152 124 87 | 59  104 162 
|119 93  68 | 55  104 161 
|127 105 76 | 11  123 134 
|136 104 79 | 11  123 134 
|111 85  64 | 11  123 134 
|165 162 155| 0   128 128 
|166 168 178| 3   127 130 
|140 141 152| 7   125 132 
|154 155 163| 10  123 134 
|84  89  96 | 7   125 132 
|62  70  67 | 6   126 131 
|77  78  73 | 9   126 129 
|58  54  61 | 22  125 131 
|109 111 116| 35  123 134 
|150 150 156| 50  120 135 
|166 162 170| 62  119 136 
|156 154 161| 73  119 136 
|110 110 114| 78  120 135 
|123 128 123| 84  122 133 
|160 165 171| 89  125 131 
|133 102 85 | 92  129 128 
|140 111 78 | 90  131 127 
|162 133 93 | 81  132 127 
|160 135 96 | 74  130 127 
|120 92  76 | 71  130 129 
|127 102 83 | 76  130 128 
|127 99  78 | 81  130 128 
|137 105 81 | 84  130 128 
|130 100 76 | 83  131 129 
|129 101 77 | 81  131 129 
|118 90  71 | 79  132 127 
|111 95  82 | 75  131 128 
|126 118 111| 72  130 129 
|175 163 158| 71  129 130 
|195 180 178| 74  127 129 
|135 135 138| 81  126 129 
|118 114 112| 90  126 130 
|112 74  59 | 98  126 128 
|181 136 105| 106 126 128 
|177 131 101| 112 128 128 
|170 124 96 | 118 127 127 
|158 111 82 | 120 128 126 
|126 85  57 | 118 129 126 
|115 73  52 | 114 130 125 
|106 66  50 | 112 131 125 
|101 69  43 | 111 131 126 
|95  69  46 | 115 130 127 
|105 69  51 | 119 128 129 
|109 69  52 | 125 127 130 
|100 71  49 | 127 126 130 
|90  65  47 | 122 126 129 
|101 69  49 | 114 128 128 
|96  66  49 | 103 130 126 
|99  66  57 | 96  128 128 
|95  64  54 | 92  123 132 
|93  58  43 | 90  118 138 
|94  59  40 | 90  113 144 
|96  65  48 | 88  109 150 
|101 63  46 | 84  105 155 
|92  56  39 | 80  102 159 
|85  55  45 | 74  101 162 
|76  53  40 | 69  101 164 
|72  44  39 | 65  101 163 
|76  44  23 | 60  102 163 
