|75  45  31 | 102 128 10  
|75  45  29 | 104 128 10  
|69  41  23 | 107 128 10  
|73  48  32 | 108 128 10  
|71  48  27 | 111 128 14  
|68  44  18 | 110 128 16  
|124 95  72 | 109 128 15  
|142 110 90 | 105 128 16  
|125 93  73 | 109 128 15  
|123 88  72 | 111 128 14  
|129 98  80 | 115 128 14  
|127 99  78 | 111 128 12  
|127 102 77 | 116 128 12  
|102 77  55 | 101 39  22  
|114 97  82 | 108 33  24  
|176 166 166| 95  40  24  
|184 180 190| 94  49  21  
|182 182 194| 94  51  20  
|153 155 168| 98  54  20  
|140 144 155| 90  0   0   
|148 153 164| 90  0   0   
|148 149 163| 90  0   0   
|165 167 179| 95  93  7   
|126 131 142| 112 64  9   
|40  44  52 | 124 30  12  
|66  71  74 | 112 21  11  
|88  90  92 | 119 30  12  
|89  89  87 | 101 28  16  
|96  94  91 | 126 33  20  
|128 122 125| 133 23  20  
|164 156 164| 107 28  20  
|166 162 168| 107 28  20  
|161 159 166| 101 21  22  
|161 160 166| 112 23  20  
|170 169 175| 101 27  17  
|158 157 162| 99  40  14  
|132 132 137| 101 64  12  
|98  101 106| 95  60  13  
|84  88  96 | 117 128 16  
|90  93  102| 117 128 15  
|141 115 81 | 117 128 15  
|134 110 76 | 116 128 15  
|137 113 80 | 116 128 16  
|136 111 81 | 113 128 17  
|149 121 88 | 116 128 16  
|145 113 83 | 114 128 15  
|142 114 83 | 115 128 16  
|131 104 73 | 115 128 16  
|136 110 80 | 114 128 15  
|139 112 82 | 113 128 15  
|132 105 75 | 112 128 16  
|130 102 74 | 112 128 16  
|132 103 76 | 114 128 14  
|133 104 77 | 114 128 14  
|123 96  67 | 118 128 14  
|122 95  65 | 119 128 14  
|121 99  65 | 122 128 14  
|121 99  62 | 114 128 15  
|127 107 68 | 114 128 14  
|128 102 71 | 110 128 14  
|123 97  70 | 111 128 14  
|117 89  67 | 116 128 13  
|113 86  65 | 117 128 14  
|106 84  52 | 115 128 14  
|113 90  56 | 112 128 14  
|111 88  55 | 107 128 16  
|107 80  52 | 108 128 14  
|113 78  51 | 108 128 14  
|112 80  57 | 107 128 12  
|111 82  64 | 111 128 12  
|101 74  57 | 128 99  14  
|112 89  73 | 128 89  8   
|135 129 110| 90  91  4   
|81  78  67 | 90  128 6   
|36  28  29 | 90  128 12  
|40  15  23 | 105 128 21  
|62  23  19 | 106 128 24  
|173 125 105| 107 128 22  
|189 135 105| 107 128 20  
|175 127 97 | 106 128 17  
|160 117 96 | 108 128 17  
|137 100 79 | 105 128 17  
|134 96  69 | 103 128 16  
|128 87  64 | 105 128 16  
|121 81  61 | 105 128 16  
|115 79  57 | 107 128 16  
|117 80  56 | 106 128 16  
|120 84  58 | 107 128 16  
|123 84  57 | 107 128 16  
|124 87  62 | 106 128 16  
|123 88  63 | 104 128 17  
|123 85  61 | 104 128 18  
|123 81  55 | 104 128 16  
|125 83  58 | 106 128 16  
|119 79  54 | 108 128 16  
|120 81  53 | 110 128 16  
|122 86  54 | 108 128 17  
|130 96  67 | 108 128 16  
|135 99  73 | 109 128 17  
|136 101 77 | 108 128 18  
|138 101 75 | 107 128 18  
|143 106 80 | 108 128 18  
|145 105 81 | 105 128 18  
|141 103 77 | 104 128 18  
|144 102 79 | 102 128 19  
|135 91  66 | 100 128 18  
|135 88  64 | 100 128 16  
|127 78  56 | 97  128 16  
|110 66  46 | 94  128 15  
|104 58  43 | 93  128 14  
|92  46  35 | 93  128 14  
|86  43  35 | 95  128 14  
|88  45  38 | 95  128 14  
|87  47  39 | 94  128 15  
|83  41  29 | 93  128 16  
|95  50  40 | 96  128 16  
|86  37  25 | 97  128 16  
|92  45  30 | 97  128 16  
|98  51  32 | 98  128 16  
|97  48  28 | 99  128 16  
|99  51  27 | 98  128 16  
|101 54  29 | 100 128 14  
|97  53  34 | 102 128 12  
|95  57  37 | 103 128 12  
|81  48  27 | 106 128 11  
|80  49  29 | 102 128 11  
|76  49  27 | 104 128 11  
|73  45  30 | 101 128 12  
|73  44  25 | 103 128 12  
|75  43  23 | 106 128 10  
|75  46  25 | 110 128 10  
|71  45  23 | 108 128 10  
|74  52  28 | 107 128 12  
|68  44  17 | 112 128 16  
|74  47  22 | 107 128 16  
|138 107 81 | 107 128 16  
|129 94  73 | 109 128 15  
|125 90  71 | 114 128 16  
|125 94  73 | 114 128 15  
|135 107 80 | 112 128 15  
|130 103 73 | 108 128 11  
|126 96  70 | 110 72  16  
|88  65  49 | 122 21  22  
|142 129 124| 104 41  24  
|180 174 180| 94  46  23  
|181 179 191| 90  54  20  
|166 167 180| 94  52  22  
|141 144 159| 90  0   0   
|150 154 167| 90  0   0   
|151 152 162| 90  0   0   
|150 152 164| 94  64  15  
|164 168 179| 102 100 6   
|101 105 116| 116 53  10  
|35  40  45 | 153 21  11  
|72  76  78 | 122 43  10  
|91  91  89 | 90  37  12  
|85  85  80 | 116 43  12  
|94  87  89 | 122 30  15  
|103 96  101| 112 15  16  
|125 120 124| 119 23  16  
|126 124 127| 101 32  14  
|125 124 128| 104 27  12  
|107 106 111| 112 39  11  
|97  96  101| 90  48  13  
|89  87  92 | 99  67  14  
|93  94  102| 90  57  14  
|96  100 110| 114 128 14  
|96  99  109| 115 128 14  
|121 94  65 | 112 128 15  
|122 95  63 | 110 128 15  
|120 90  59 | 108 128 16  
|117 85  57 | 111 128 14  
|123 90  65 | 110 128 15  
|117 88  62 | 115 128 14  
|123 93  67 | 116 128 14  
|118 93  62 | 115 128 14  
|118 94  62 | 115 128 14  
|118 93  63 | 116 128 14  
|119 96  67 | 115 128 14  
|121 96  65 | 114 128 14  
|117 93  62 | 113 128 14  
|123 97  68 | 110 128 14  
|120 93  68 | 111 128 14  
|118 89  68 | 115 128 14  
|111 84  60 | 116 128 14  
|117 92  63 | 112 128 14  
|119 94  62 | 108 128 14  
|113 85  54 | 104 128 15  
|113 81  59 | 104 128 15  
|117 82  64 | 110 128 13  
|117 83  66 | 117 128 12  
|98  71  44 | 118 128 12  
|95  74  42 | 111 128 12  
|95  76  45 | 107 128 13  
|101 77  54 | 107 128 12  
|102 72  55 | 109 128 12  
|93  67  51 | 112 128 12  
|99  73  53 | 117 128 10  
|99  76  53 | 119 128 11  
|90  72  47 | 121 110 12  
|107 91  70 | 113 83  12  
|118 106 91 | 104 120 8   
|101 92  85 | 99  128 12  
|72  55  51 | 109 128 18  
|79  49  37 | 109 128 21  
|156 118 93 | 108 128 20  
|176 132 102| 107 128 19  
|170 126 98 | 108 128 17  
|157 116 93 | 107 128 16  
|140 104 82 | 107 128 16  
|127 89  64 | 109 128 15  
|123 88  63 | 107 128 15  
|116 84  59 | 107 128 15  
|115 82  57 | 107 128 16  
|115 81  56 | 107 128 16  
|122 85  59 | 105 128 18  
|126 88  62 | 106 128 18  
|130 88  62 | 104 128 18  
|129 88  61 | 102 128 18  
|125 81  55 | 105 128 18  
|125 78  52 | 108 128 16  
|125 83  56 | 112 128 15  
|119 83  50 | 112 128 16  
|114 83  49 | 111 128 16  
|118 87  53 | 110 128 16  
|127 94  60 | 110 128 18  
|130 95  64 | 108 128 18  
|136 100 68 | 107 128 18  
|141 102 74 | 105 128 19  
|143 103 77 | 105 128 18  
|146 101 77 | 102 128 19  
|140 96  72 | 100 128 19  
|139 91  69 | 100 128 20  
|130 80  60 | 99  128 18  
|132 79  58 | 98  128 17  
|116 65  42 | 99  128 15  
|109 61  43 | 97  128 14  
|96  53  36 | 96  128 14  
|93  51  37 | 93  128 13  
|86  46  34 | 95  128 13  
|78  38  28 | 96  128 14  
|79  40  30 | 95  128 14  
|83  44  32 | 93  128 14  
|80  39  27 | 98  128 13  
|81  40  30 | 100 128 14  
|80  42  26 | 101 128 14  
|83  45  25 | 101 128 14  
|83  46  23 | 102 128 14  
|84  46  21 | 98  128 16  
|92  53  27 | 98  128 16  
|95  52  32 | 102 128 14  
|97  53  34 | 107 128 12  
|89  52  29 | 106 128 11  
|79  51  28 | 106 128 10  
|73  47  26 | 101 128 12  
|74  49  30 | 97  128 12  
|78  47  32 | 101 128 12  
|77  41  26 | 105 128 12  
|76  43  25 | 113 128 10  
|76  48  27 | 106 128 10  
|72  52  29 | 104 128 11  
|70  45  25 | 108 128 14  
|70  43  22 | 111 128 16  
|108 78  58 | 109 128 16  
|134 103 81 | 108 128 16  
|131 99  77 | 112 128 16  
|126 93  71 | 114 128 14  
|134 105 78 | 111 128 16  
|125 99  72 | 116 128 12  
|132 101 78 | 122 128 10  
|114 92  69 | 120 51  20  
|101 90  72 | 107 25  24  
|170 164 155| 102 33  24  
|185 184 190| 90  43  22  
|181 180 190| 90  43  20  
|160 162 174| 90  0   0   
|143 146 156| 90  0   0   
|151 154 160| 90  0   0   
|149 153 161| 103 64  20  
|156 161 171| 106 101 8   
|141 150 160| 90  51  8   
|57  65  73 | 119 32  10  
|55  56  62 | 122 68  11  
|88  85  83 | 133 11  12  
|98  93  86 | 133 11  12  
|93  93  92 | 119 30  12  
|91  90  92 | 104 30  12  
|92  90  88 | 122 43  10  
|92  88  87 | 116 43  12  
|86  81  86 | 107 43  12  
|99  96  103| 90  27  12  
|95  93  100| 90  48  13  
|93  95  98 | 95  60  13  
|93  94  101| 90  53  14  
|92  92  102| 112 128 14  
|94  96  104| 114 128 14  
|106 80  50 | 113 128 14  
|113 87  59 | 112 128 14  
|112 86  56 | 110 128 14  
|110 81  52 | 111 128 14  
|110 81  57 | 113 128 13  
|108 80  55 | 114 128 14  
|106 80  53 | 115 128 14  
|112 87  57 | 115 128 13  
|110 86  55 | 113 128 13  
|110 86  58 | 115 128 13  
|109 85  59 | 116 128 13  
|113 90  63 | 113 128 14  
|114 91  63 | 111 128 14  
|120 94  68 | 110 128 14  
|121 93  70 | 112 128 14  
|120 92  71 | 113 128 14  
|120 92  70 | 114 128 15  
|120 94  68 | 112 128 14  
|124 97  66 | 108 128 14  
|121 93  66 | 106 128 14  
|121 90  70 | 106 128 14  
|123 91  75 | 112 128 14  
|123 92  77 | 113 128 14  
|127 100 77 | 115 128 13  
|121 96  70 | 113 128 14  
|113 91  64 | 112 128 14  
|123 98  76 | 112 128 14  
|122 94  73 | 110 128 14  
|121 95  75 | 112 128 14  
|121 94  74 | 116 128 13  
|119 94  71 | 117 128 12  
|117 96  71 | 120 122 11  
|115 96  74 | 113 91  14  
|114 101 84 | 107 96  15  
|120 106 98 | 108 128 14  
|128 109 104| 109 128 18  
|128 100 87 | 109 128 21  
|153 117 92 | 109 128 20  
|175 131 100| 107 128 18  
|171 128 99 | 106 128 17  
|154 114 90 | 105 128 17  
|138 101 81 | 107 128 16  
|128 89  66 | 109 128 14  
|121 86  60 | 109 128 15  
|113 82  56 | 107 128 16  
|116 84  58 | 107 128 16  
|124 88  62 | 108 128 16  
|123 87  61 | 107 128 18  
|125 88  59 | 106 128 18  
|130 90  60 | 105 128 18  
|127 86  56 | 103 128 18  
|125 82  53 | 105 128 18  
|125 79  52 | 109 128 16  
|124 82  54 | 109 128 16  
|117 81  49 | 111 128 16  
|115 82  50 | 110 128 16  
|119 87  54 | 110 128 16  
|126 92  60 | 110 128 18  
|127 92  61 | 107 128 18  
|135 98  66 | 106 128 18  
|139 99  73 | 104 128 19  
|138 95  71 | 101 128 19  
|142 96  74 | 100 128 20  
|138 90  71 | 99  128 20  
|139 87  70 | 98  128 18  
|134 81  65 | 96  128 18  
|122 70  53 | 97  128 16  
|108 55  38 | 94  128 16  
|106 59  44 | 93  128 14  
|94  47  35 | 93  128 13  
|86  42  34 | 93  128 12  
|81  41  32 | 95  128 12  
|78  39  31 | 95  128 12  
|75  39  29 | 94  128 12  
|75  39  29 | 99  128 12  
|71  35  25 | 99  128 12  
|74  41  27 | 103 128 12  
|76  42  27 | 102 128 12  
|76  45  26 | 102 128 13  
|81  48  26 | 103 128 14  
|80  45  23 | 99  128 14  
|85  49  25 | 97  128 15  
|92  52  33 | 100 128 14  
|95  52  35 | 103 128 14  
|93  53  33 | 104 128 12  
|85  50  27 | 103 128 12  
|83  52  30 | 100 128 12  
|79  48  29 | 95  128 14  
|82  47  31 | 99  128 12  
|82  42  31 | 101 128 12  
|79  43  28 | 106 128 11  
|75  45  27 | 108 128 10  
|77  52  32 | 106 128 11  
|77  53  31 | 103 128 12  
|74  47  27 | 108 128 16  
|78  48  28 | 110 128 16  
|126 93  72 | 109 128 16  
|134 102 79 | 111 128 16  
|131 98  76 | 113 128 15  
|127 96  69 | 112 128 15  
|129 101 75 | 115 128 14  
|129 100 74 | 119 128 10  
|122 99  74 | 122 91  14  
|90  76  56 | 104 15  24  
|130 121 108| 107 25  24  
|190 186 186| 90  33  24  
|184 183 189| 103 51  20  
|172 174 184| 90  0   0   
|149 155 164| 90  0   0   
|146 149 159| 90  0   0   
|153 157 167| 99  47  22  
|148 152 163| 100 58  16  
|160 165 175| 110 71  6   
|109 114 123| 90  13  10  
|40  42  48 | 119 32  10  
|74  75  74 | 153 11  12  
|87  85  83 | 90  11  12  
|92  92  90 | 133 21  11  
|90  91  89 | 90  0   12  
|93  93  90 | 119 27  12  
|96  95  95 | 107 43  12  
|101 99  103| 97  48  13  
|97  96  103| 112 51  12  
|96  98  105| 112 51  12  
|89  94  97 | 102 56  12  
|91  96  100| 107 43  12  
|91  95  101| 114 128 14  
|94  97  101| 114 128 12  
|115 90  63 | 115 128 13  
|107 84  60 | 114 128 14  
|113 90  64 | 115 128 14  
|127 102 75 | 113 128 13  
|125 100 75 | 114 128 14  
|113 90  66 | 116 128 14  
|117 93  66 | 115 128 14  
|124 100 71 | 115 128 14  
|129 105 76 | 113 128 13  
|120 96  70 | 119 128 14  
|114 90  67 | 118 128 14  
|132 112 86 | 113 128 14  
|130 108 81 | 112 128 14  
|126 101 78 | 111 128 14  
|129 102 81 | 109 128 14  
|130 102 84 | 111 128 14  
|128 99  81 | 113 128 15  
|125 97  75 | 112 128 14  
|131 103 77 | 109 128 14  
|128 102 79 | 109 128 14  
|126 97  78 | 109 128 14  
|131 103 87 | 111 128 14  
|130 101 85 | 112 128 14  
|128 99  80 | 112 128 14  
|124 97  76 | 112 128 14  
|124 98  78 | 112 128 14  
|128 101 83 | 112 128 14  
|128 102 79 | 112 128 14  
|129 103 81 | 112 128 14  
|129 103 80 | 112 128 14  
|129 102 80 | 115 128 13  
|119 93  70 | 113 128 12  
|119 98  76 | 106 117 12  
|117 97  82 | 106 106 14  
|110 89  82 | 111 128 14  
|114 94  88 | 111 128 18  
|122 95  79 | 110 128 21  
|150 116 90 | 110 128 20  
|175 133 99 | 109 128 18  
|169 128 96 | 106 128 16  
|150 112 87 | 106 128 16  
|131 95  75 | 106 128 16  
|128 91  69 | 107 128 15  
|123 86  62 | 108 128 16  
|115 81  55 | 109 128 16  
|123 89  63 | 108 128 17  
|125 90  62 | 108 128 17  
|129 91  63 | 108 128 18  
|128 89  59 | 107 128 18  
|133 92  59 | 107 128 18  
|128 87  54 | 103 128 18  
|130 88  54 | 106 128 17  
|127 81  53 | 106 128 16  
|122 81  51 | 109 128 16  
|118 79  51 | 109 128 16  
|119 84  54 | 109 128 16  
|121 87  57 | 108 128 16  
|123 89  59 | 107 128 18  
|126 89  61 | 106 128 18  
|134 94  65 | 104 128 18  
|136 94  68 | 102 128 20  
|136 91  67 | 100 128 20  
|144 96  75 | 97  128 19  
|147 94  78 | 97  128 18  
|131 77  64 | 95  128 18  
|125 72  57 | 95  128 16  
|110 59  46 | 94  128 16  
|104 54  41 | 93  128 15  
|101 53  44 | 91  128 14  
|95  49  43 | 92  128 13  
|91  46  41 | 92  128 12  
|80  38  34 | 94  128 12  
|74  35  30 | 95  128 12  
|76  39  32 | 96  128 11  
|76  41  31 | 99  128 12  
|68  35  23 | 101 128 12  
|76  45  31 | 100 128 12  
|76  43  26 | 102 128 13  
|83  49  31 | 100 128 14  
|86  52  32 | 99  128 14  
|86  49  30 | 97  128 14  
|90  52  34 | 97  128 15  
|87  46  28 | 100 128 15  
|97  54  39 | 101 128 15  
|96  54  34 | 101 128 14  
|96  55  31 | 100 128 14  
|91  53  32 | 97  128 13  
|88  51  33 | 96  128 14  
|81  43  28 | 99  128 12  
|84  45  33 | 101 128 12  
|82  47  33 | 106 128 11  
|78  47  33 | 107 128 12  
|78  51  32 | 105 128 12  
|79  52  30 | 103 128 12  
|79  52  31 | 107 128 14  
|78  46  26 | 109 128 16  
|107 75  54 | 109 128 16  
|136 103 81 | 112 128 15  
|133 101 78 | 112 128 16  
|127 97  71 | 112 128 15  
|133 104 78 | 115 128 14  
|128 99  73 | 119 128 12  
|124 100 75 | 119 128 9   
|117 99  77 | 112 51  20  
|87  75  57 | 104 15  24  
|166 157 152| 108 33  24  
|187 184 184| 102 60  23  
|183 188 193| 90  0   0   
|167 176 187| 90  0   0   
|146 151 163| 90  0   0   
|158 161 174| 90  44  22  
|149 151 163| 90  32  21  
|157 159 171| 90  43  10  
|158 159 167| 99  64  8   
|72  72  78 | 132 21  11  
|50  52  57 | 139 32  10  
|86  87  89 | 127 46  12  
|87  88  84 | 112 37  12  
|90  94  87 | 90  0   12  
|94  96  90 | 104 27  12  
|96  96  96 | 97  48  13  
|96  95  100| 102 56  12  
|96  95  103| 148 68  11  
|92  96  101| 133 55  11  
|88  98  98 | 107 43  12  
|91  100 99 | 116 46  12  
|93  97  101| 117 128 14  
|89  94  96 | 114 128 14  
|140 118 93 | 116 128 13  
|126 103 84 | 115 128 14  
|122 102 79 | 116 128 14  
|134 111 86 | 115 128 14  
|131 109 86 | 115 128 14  
|124 102 78 | 117 128 14  
|124 102 78 | 117 128 14  
|126 104 78 | 115 128 14  
|133 109 81 | 115 128 14  
|134 110 85 | 118 128 14  
|128 104 82 | 116 128 14  
|139 118 95 | 112 128 14  
|131 109 85 | 112 128 14  
|132 106 85 | 109 128 14  
|132 105 86 | 109 128 14  
|132 103 88 | 109 128 15  
|129 101 84 | 110 128 16  
|126 95  76 | 114 128 14  
|137 106 83 | 112 128 14  
|131 105 82 | 111 128 14  
|131 105 83 | 111 128 14  
|133 105 88 | 109 128 14  
|130 102 84 | 109 128 14  
|124 95  77 | 110 128 14  
|125 96  78 | 112 128 14  
|126 98  81 | 111 128 14  
|126 100 80 | 112 128 14  
|128 100 79 | 112 128 14  
|128 102 79 | 112 128 14  
|129 101 79 | 112 128 14  
|128 101 80 | 112 128 14  
|123 96  76 | 110 128 13  
|120 94  74 | 105 123 14  
|119 94  81 | 108 122 12  
|119 93  85 | 108 128 13  
|109 87  78 | 112 128 17  
|105 78  59 | 112 128 21  
|142 108 78 | 111 128 20  
|176 136 99 | 110 128 17  
|165 127 94 | 107 128 16  
|143 108 81 | 106 128 16  
|127 92  73 | 107 128 16  
|125 89  68 | 108 128 16  
|126 90  66 | 109 128 16  
|126 90  63 | 108 128 16  
|127 92  65 | 109 128 17  
|127 92  64 | 108 128 18  
|128 91  60 | 108 128 18  
|133 93  60 | 109 128 18  
|131 90  56 | 106 128 18  
|131 92  55 | 103 128 18  
|126 83  50 | 104 128 18  
|123 78  50 | 105 128 17  
|125 81  52 | 107 128 16  
|121 81  53 | 108 128 16  
|121 84  54 | 106 128 16  
|117 83  54 | 108 128 17  
|120 83  57 | 107 128 18  
|130 92  63 | 107 128 18  
|133 93  64 | 105 128 18  
|137 96  66 | 103 128 20  
|139 95  68 | 102 128 20  
|147 99  76 | 97  128 19  
|150 98  79 | 96  128 18  
|126 73  58 | 95  128 16  
|115 63  50 | 95  128 16  
|102 54  40 | 95  128 16  
|101 54  41 | 96  128 15  
|109 62  53 | 93  128 14  
|104 60  54 | 90  128 14  
|96  52  47 | 93  128 14  
|89  42  39 | 94  128 16  
|94  49  45 | 97  128 16  
|103 58  52 | 97  128 16  
|109 65  57 | 98  128 16  
|107 64  53 | 98  128 16  
|109 66  52 | 98  128 16  
|110 66  52 | 97  128 16  
|110 65  50 | 98  128 16  
|105 59  44 | 98  128 16  
|110 64  49 | 97  128 15  
|106 60  45 | 99  128 14  
|97  54  39 | 100 128 16  
|95  55  39 | 101 128 16  
|97  55  34 | 100 128 16  
|99  56  32 | 101 128 14  
|100 58  38 | 98  128 13  
|88  50  30 | 99  128 12  
|81  44  27 | 100 128 12  
|81  45  31 | 101 128 12  
|84  50  35 | 103 128 12  
|82  51  36 | 105 128 12  
|76  47  28 | 106 128 12  
|79  52  32 | 104 128 12  
|84  55  34 | 104 128 12  
|82  51  30 | 109 128 16  
|87  55  35 | 112 128 15  
|132 101 79 | 112 128 15  
|130 101 76 | 112 128 16  
|124 94  68 | 113 128 15  
|133 104 76 | 114 128 14  
|134 106 82 | 115 128 14  
|131 105 81 | 115 128 11  
|131 107 85 | 114 105 13  
|101 83  64 | 109 43  22  
|122 107 96 | 99  25  24  
|184 176 172| 104 60  24  
|180 183 187| 90  0   0   
|181 191 203| 90  0   0   
|161 168 184| 90  0   0   
|149 151 166| 95  41  21  
|156 155 169| 97  31  22  
|157 157 168| 97  37  18  
|167 167 175| 96  100 6   
|134 134 142| 121 79  9   
|32  36  43 | 124 30  12  
|62  66  73 | 142 68  11  
|88  91  86 | 116 46  12  
|95  97  86 | 90  10  12  
|94  95  89 | 112 37  12  
|97  96  96 | 97  48  13  
|96  94  99 | 124 51  12  
|96  95  103| 144 46  12  
|89  94  98 | 139 51  12  
|91  99  97 | 133 39  11  
|93  101 97 | 116 46  12  
|90  95  95 | 116 128 14  
|89  95  96 | 116 128 13  
|134 112 89 | 118 128 13  
|129 108 89 | 121 128 13  
|130 110 89 | 119 128 14  
|130 112 85 | 116 128 13  
|134 114 89 | 115 128 14  
|122 101 77 | 115 128 14  
|126 104 82 | 117 128 14  
|123 101 76 | 115 128 14  
|123 102 75 | 111 128 14  
|126 103 79 | 115 128 13  
|120 94  76 | 114 128 12  
|124 103 85 | 113 128 14  
|113 91  71 | 111 128 14  
|131 106 86 | 111 128 14  
|130 103 85 | 110 128 15  
|132 105 87 | 108 128 16  
|135 106 88 | 111 128 16  
|130 98  79 | 112 128 14  
|137 107 86 | 115 128 14  
|132 105 83 | 114 128 14  
|127 104 81 | 113 128 14  
|125 101 79 | 109 128 14  
|123 98  75 | 108 128 16  
|127 97  79 | 113 128 14  
|133 101 83 | 113 128 14  
|127 101 79 | 114 128 14  
|124 99  77 | 111 128 14  
|123 99  76 | 109 128 14  
|126 99  78 | 109 128 14  
|125 96  78 | 109 128 14  
|129 100 83 | 108 128 14  
|129 100 84 | 108 128 14  
|125 96  81 | 100 119 14  
|122 94  82 | 107 128 13  
|121 91  88 | 112 128 14  
|119 92  83 | 112 128 18  
|123 96  74 | 113 128 20  
|146 113 81 | 112 128 20  
|174 135 96 | 110 128 17  
|168 131 98 | 107 128 16  
|143 108 82 | 107 128 16  
|132 98  79 | 107 128 16  
|125 90  71 | 108 128 16  
|130 94  70 | 108 128 16  
|127 92  64 | 110 128 16  
|130 94  66 | 108 128 18  
|128 92  61 | 108 128 18  
|128 89  56 | 109 128 18  
|130 92  58 | 110 128 18  
|131 91  54 | 106 128 18  
|133 94  54 | 104 128 18  
|127 84  48 | 103 128 18  
|125 81  52 | 105 128 17  
|123 78  49 | 105 128 16  
|121 80  53 | 106 128 16  
|114 75  49 | 104 128 16  
|114 77  49 | 105 128 18  
|117 76  51 | 108 128 18  
|129 88  62 | 109 128 18  
|136 95  63 | 109 128 18  
|138 99  65 | 104 128 20  
|142 101 69 | 104 128 20  
|147 100 74 | 101 128 20  
|149 103 79 | 101 128 18  
|147 97  79 | 100 128 18  
|135 88  73 | 100 128 18  
|131 84  69 | 99  128 16  
|126 81  66 | 95  128 16  
|122 78  66 | 95  128 18  
|113 64  57 | 96  128 18  
|121 71  66 | 96  128 20  
|136 85  81 | 96  128 20  
|141 86  83 | 98  128 21  
|148 92  87 | 97  128 21  
|155 99  90 | 97  128 21  
|152 94  83 | 96  128 21  
|149 90  79 | 95  128 21  
|147 87  75 | 94  128 20  
|140 78  68 | 94  128 20  
|131 70  59 | 95  128 19  
|126 66  55 | 99  128 16  
|121 65  53 | 100 128 15  
|112 67  49 | 100 128 15  
|101 60  42 | 100 128 15  
|95  54  33 | 101 128 16  
|93  51  29 | 99  128 14  
|98  56  33 | 100 128 13  
|91  52  33 | 103 128 12  
|84  48  30 | 104 128 11  
|82  51  34 | 103 128 12  
|79  52  35 | 103 128 12  
|81  53  37 | 107 128 12  
|79  51  34 | 102 128 12  
|79  53  29 | 104 128 12  
|84  51  33 | 100 128 13  
|86  54  35 | 106 128 14  
|81  46  27 | 109 128 14  
|114 81  60 | 112 128 16  
|123 93  71 | 114 128 16  
|130 99  71 | 114 128 16  
|135 106 78 | 112 128 14  
|138 111 86 | 112 128 14  
|131 105 83 | 112 128 14  
|127 100 81 | 112 128 12  
|126 100 83 | 110 77  18  
|107 86  71 | 112 10  24  
|148 134 127| 102 56  25  
|191 191 193| 90  0   0   
|180 188 200| 90  0   0   
|178 182 201| 90  0   0   
|151 152 170| 101 41  21  
|158 158 171| 97  32  21  
|158 156 167| 95  38  23  
|156 156 164| 95  61  14  
|172 175 183| 110 128 5   
|98  102 112| 101 37  12  
|12  18  30 | 133 49  10  
|93  96  91 | 107 46  12  
|92  91  84 | 99  43  12  
|91  86  84 | 122 37  12  
|99  93  93 | 124 46  12  
|100 94  99 | 124 27  12  
|97  92  100| 144 46  12  
|95  97  100| 132 37  12  
|92  99  96 | 142 37  12  
|92  98  95 | 122 37  12  
|92  98  96 | 115 128 14  
|96  102 100| 113 128 13  
|130 107 86 | 115 128 14  
|126 104 88 | 116 128 14  
|127 105 84 | 115 128 14  
|130 108 82 | 115 128 14  
|132 110 90 | 115 128 13  
|128 106 84 | 115 128 14  
|117 94  70 | 115 128 14  
|126 101 76 | 116 128 14  
|133 109 82 | 112 128 14  
|130 107 82 | 108 128 13  
|120 96  76 | 109 128 14  
|114 87  72 | 113 128 14  
|121 94  78 | 112 128 14  
|128 103 82 | 108 128 14  
|124 99  80 | 109 128 14  
|125 96  81 | 109 128 15  
|128 99  82 | 109 128 16  
|126 95  76 | 112 128 15  
|134 103 82 | 116 128 14  
|131 103 81 | 120 128 14  
|127 104 77 | 115 128 14  
|127 108 78 | 107 128 15  
|135 112 87 | 107 128 16  
|127 96  79 | 110 128 15  
|131 98  83 | 116 128 13  
|130 101 81 | 115 128 14  
|123 102 77 | 114 128 14  
|123 101 75 | 112 128 14  
|121 98  74 | 110 128 14  
|122 96  77 | 108 128 14  
|128 100 85 | 106 128 14  
|128 98  85 | 107 128 14  
|130 99  88 | 101 113 14  
|126 97  87 | 106 128 14  
|121 92  89 | 108 128 14  
|119 91  81 | 112 128 18  
|117 87  66 | 112 128 20  
|144 109 76 | 112 128 20  
|170 130 92 | 110 128 16  
|163 126 92 | 107 128 15  
|133 99  72 | 107 128 16  
|123 90  69 | 107 128 16  
|127 92  70 | 107 128 18  
|126 90  65 | 108 128 18  
|133 94  67 | 107 128 18  
|134 95  65 | 108 128 18  
|126 86  55 | 109 128 18  
|129 90  57 | 107 128 18  
|136 95  60 | 109 128 18  
|135 93  57 | 106 128 18  
|135 93  55 | 105 128 18  
|129 86  51 | 104 128 18  
|130 86  55 | 103 128 16  
|121 77  49 | 103 128 16  
|115 73  49 | 103 128 16  
|114 73  48 | 103 128 16  
|113 73  49 | 105 128 18  
|114 74  50 | 106 128 18  
|129 87  63 | 107 128 20  
|141 98  71 | 108 128 20  
|142 98  64 | 107 128 19  
|147 104 72 | 106 128 19  
|151 109 81 | 105 128 19  
|150 106 82 | 103 128 20  
|149 105 83 | 104 128 20  
|157 111 96 | 103 128 20  
|161 115 99 | 103 128 20  
|164 115 100| 100 128 21  
|168 118 106| 98  128 22  
|167 115 105| 97  128 22  
|171 113 108| 94  128 23  
|168 108 103| 93  128 24  
|164 97  95 | 94  128 24  
|166 96  96 | 93  128 24  
