INDEX  ROW  COLUMN R   G   B
1951   31   31     183 177 181
1953   31   33     186 177 178
1954   31   34     179 174 183
1955   31   35     179 180 174
1956   31   36     180 174 173
1957   31   37     176 170 160
1958   31   38     173 162 152
1959   31   39     178 158 143
1960   31   40     181 157 133
1961   31   41     175 153 133
1962   31   42     182 160 128
1963   31   43     178 161 130
1964   31   44     179 160 131
1965   31   45     180 161 131
1966   31   46     179 157 129
1967   31   47     181 160 133
1968   31   48     178 156 123
1969   31   49     183 148 123
1970   31   50     176 157 123
1971   31   51     179 152 120
1972   31   52     176 148 118
1973   31   53     175 151 120
1974   31   54     173 147 115
1975   31   55     177 149 118
1976   31   56     174 148 116
1977   31   57     166 145 115
1978   31   58     168 143 112
1979   31   59     163 140 116
1980   31   60     158 134 107
1981   31   61     152 136 101
1982   31   62     156 129 86
1999   32   15     110 112 109
2000   32   16     134 136 137
2002   32   18     157 150 141
2003   32   19     140 126 122
2004   32   20     124 115 98
2005   32   21     138 127 113
2006   32   22     143 137 121
2007   32   23     150 147 134
2008   32   24     151 144 142
2009   32   25     151 146 139
2010   32   26     150 146 138
2011   32   27     143 141 132
2012   32   28     149 136 132
2013   32   29     153 145 143
2015   32   31     172 167 161
2016   32   32     176 170 164
2017   32   33     173 172 170
2018   32   34     177 178 160
2019   32   35     178 171 164
2020   32   36     178 166 161
2021   32   37     172 162 152
2022   32   38     166 153 140
2023   32   39     163 144 130
2024   32   40     165 147 124
2025   32   41     166 145 131
2026   32   42     175 157 125
2027   32   43     177 148 129
2028   32   44     173 149 127
2029   32   45     179 151 128
2030   32   46     173 152 136
2031   32   47     172 149 135
2032   32   48     180 161 128
2033   32   49     177 155 134
2034   32   50     186 154 125
2035   32   51     184 152 130
2036   32   52     180 161 125
2037   32   53     180 155 129
2038   32   54     180 154 125
2039   32   55     172 158 123
2040   32   56     180 152 122
2041   32   57     173 146 128
2042   32   58     173 154 129
2043   32   59     168 145 121
2044   32   60     158 141 114
2045   32   61     153 131 101
2046   32   62     149 133 95
2063   33   15     110 112 114
2064   33   16     134 136 135
2067   33   19     153 146 126
2068   33   20     130 121 105
2069   33   21     135 130 115
2070   33   22     145 129 117
2071   33   23     147 129 118
2072   33   24     141 131 117
2073   33   25     144 130 118
2074   33   26     141 128 117
2075   33   27     133 120 109
2076   33   28     130 119 105
2077   33   29     140 128 118
2078   33   30     153 139 126
2079   33   31     164 152 139
2080   33   32     164 161 141
2081   33   33     173 154 137
2082   33   34     174 157 146
2083   33   35     171 155 141
2084   33   36     169 156 139
2085   33   37     160 143 128
2086   33   38     150 137 120
2087   33   39     151 130 109
2088   33   40     150 132 116
2089   33   41     158 140 119
2090   33   42     166 148 129
2091   33   43     175 155 137
2092   33   44     174 161 146
2093   33   45     170 167 144
2094   33   46     175 158 144
2095   33   47     174 163 148
2096   33   48     172 159 149
2097   33   49     182 162 145
2098   33   50     180 163 148
2099   33   51     182 172 143
2100   33   52     189 158 152
2101   33   53     180 168 140
2102   33   54     178 161 148
2103   33   55     181 159 146
2104   33   56     176 167 144
2105   33   57     178 156 144
2106   33   58     169 159 139
2107   33   59     158 148 127
2108   33   60     147 127 117
2109   33   61     137 117 103
2110   33   62     139 122 103
2128   34   16     133 135 134
2129   34   17     172 170 168
2130   34   18     172 167 158
2131   34   19     163 155 152
2132   34   20     155 146 127
2133   34   21     151 149 135
2134   34   22     157 142 138
2135   34   23     161 144 122
2136   34   24     153 137 123
2137   34   25     160 138 118
2138   34   26     152 134 111
2139   34   27     148 128 105
2140   34   28     143 123 104
2141   34   29     151 131 106
2142   34   30     158 136 122
2143   34   31     156 145 126
2144   34   32     165 139 120
2145   34   33     162 142 123
2146   34   34     167 149 116
2147   34   35     165 151 125
2148   34   36     160 144 129
2149   34   37     159 141 124
2150   34   38     157 141 121
2151   34   39     148 136 125
2152   34   40     153 138 125
2153   34   41     158 149 133
2154   34   42     168 154 147
2155   34   43     169 164 155
2156   34   44     172 163 162
2157   34   45     173 162 160
2158   34   46     177 166 163
2159   34   47     170 169 159
2161   34   49     179 173 158
2162   34   50     180 172 165
2163   34   51     182 178 161
2164   34   52     180 178 161
2165   34   53     181 179 162
2166   34   54     190 172 167
2167   34   55     178 172 167
2168   34   56     177 173 156
2169   34   57     177 173 152
2170   34   58     175 160 151
2171   34   59     162 151 137
2172   34   60     154 140 129
2173   34   61     147 132 119
2174   34   62     146 136 133
2192   35   16     134 136 132
2193   35   17     176 172 177
2195   35   19     182 177 168
2197   35   21     172 162 155
2198   35   22     172 161 149
2199   35   23     169 157 142
2200   35   24     165 147 130
2201   35   25     161 143 117
2202   35   26     164 134 116
2203   35   27     152 135 114
2204   35   28     149 131 110
2205   35   29     156 136 123
2206   35   30     163 142 124
2207   35   31     170 145 129
2208   35   32     158 148 130
2209   35   33     166 141 123
2210   35   34     161 148 121
2211   35   35     160 142 129
2212   35   36     164 147 127
2213   35   37     160 148 142
2214   35   38     159 150 141
2215   35   39     157 153 149
2216   35   40     160 158 150
2217   35   41     169 159 160
2218   35   42     170 169 164
2219   35   43     177 175 178
2220   35   44     179 178 176
