INDEX  ROW  COLUMN R   G   B
2775   22   87     180 181 183
2776   22   88     183 184 180
2778   22   90     180 182 179
2779   22   91     179 180 176
2851   23   35     183 180 181
2852   23   36     180 183 184
2853   23   37     173 177 179
2854   23   38     156 149 144
2855   23   39     117 112 95
2872   23   56     93  46  30
2873   23   57     93  49  26
2880   23   64     99  70  51
2881   23   65     112 89  74
2882   23   66     124 106 87
2883   23   67     134 112 96
2884   23   68     141 128 107
2885   23   69     156 140 119
2886   23   70     164 146 125
2887   23   71     168 155 135
2888   23   72     171 155 134
2889   23   73     170 157 135
2890   23   74     172 157 140
2891   23   75     174 164 149
2892   23   76     175 172 158
2893   23   77     179 174 165
2894   23   78     176 175 170
2895   23   79     180 174 172
2896   23   80     178 175 172
2897   23   81     178 181 176
2898   23   82     183 180 181
2906   23   90     174 172 170
2907   23   91     174 170 169
2982   24   38     163 161 155
2983   24   39     129 121 108
2984   24   40     99  77  57
2999   24   55     91  52  33
3000   24   56     101 52  32
3001   24   57     98  54  31
3002   24   58     95  50  28
3003   24   59     92  48  28
3008   24   64     92  54  36
3009   24   65     99  66  45
3010   24   66     104 74  52
3011   24   67     113 81  62
3012   24   68     120 96  73
3013   24   69     137 109 87
3014   24   70     144 124 103
3015   24   71     153 131 106
3016   24   72     151 129 109
3017   24   73     151 128 113
3018   24   74     148 133 116
3019   24   75     156 141 125
3020   24   76     157 149 137
3021   24   77     159 156 141
3022   24   78     164 157 148
3023   24   79     166 164 158
3024   24   80     170 168 162
3027   24   83     177 182 179
3028   24   84     182 179 177
3029   24   85     183 181 178
3030   24   86     182 184 181
3031   24   87     182 179 176
3032   24   88     177 171 170
3033   24   89     165 163 155
3034   24   90     155 154 146
3035   24   91     155 149 150
3036   24   92     161 162 158
3062   24   118    163 166 167
3109   25   37     178 184 183
3111   25   39     135 130 121
3112   25   40     102 88  74
3127   25   55     100 51  31
3128   25   56     106 57  33
3129   25   57     108 57  33
3130   25   58     102 52  32
3131   25   59     95  51  31
3138   25   66     93  53  32
3139   25   67     92  59  38
3140   25   68     105 69  48
3141   25   69     115 87  60
3142   25   70     127 95  74
3143   25   71     133 98  74
3144   25   72     124 94  75
3145   25   73     120 94  79
3146   25   74     122 95  77
3147   25   75     128 105 90
3148   25   76     134 115 98
3149   25   77     139 122 109
3150   25   78     146 130 119
3151   25   79     150 141 134
3152   25   80     158 153 141
3153   25   81     165 164 159
3154   25   82     171 166 159
3155   25   83     169 168 161
3156   25   84     170 169 162
3157   25   85     171 170 163
3158   25   86     171 170 165
3159   25   87     167 165 158
3160   25   88     155 151 144
3161   25   89     143 136 123
3162   25   90     129 121 112
3163   25   91     134 125 119
3164   25   92     146 143 140
