INDEX  ROW  COLUMN R   G   B
1432   23   24     177 158 132
1433   23   25     179 157 129
1434   23   26     179 160 135
1435   23   27     181 161 147
1436   23   28     181 162 149
1437   23   29     183 160 146
1438   23   30     181 160 148
1439   23   31     182 165 155
1440   23   32     181 171 162
1441   23   33     183 169 153
1442   23   34     185 155 128
1443   23   35     188 134 92
1444   23   36     191 118 63
1445   23   37     192 113 61
1446   23   38     187 127 88
1447   23   39     183 146 124
1448   23   40     178 161 151
1449   23   41     175 165 158
1450   23   42     175 165 158
1451   23   43     177 160 154
1452   23   44     179 158 150
1453   23   45     177 151 143
1454   23   46     179 142 131
1455   23   47     179 138 123
1456   23   48     184 141 122
1457   23   49     185 148 129
1458   23   50     184 156 131
1459   23   51     181 160 137
1460   23   52     181 161 141
1461   23   53     183 160 144
1462   23   54     186 156 136
1463   23   55     194 144 117
1464   23   56     195 135 96
1465   23   57     200 129 81
1466   23   58     199 129 76
1467   23   59     202 129 74
1468   23   60     201 130 82
1469   23   61     202 132 92
1470   23   62     133 89  69
1482   24   10     107 105 93
1483   24   11     133 132 123
1484   24   12     163 156 147
1485   24   13     180 165 144
1486   24   14     186 166 132
1487   24   15     186 164 116
1488   24   16     185 165 114
1489   24   17     188 164 123
1490   24   18     189 164 134
1491   24   19     189 165 141
1492   24   20     189 164 142
1493   24   21     186 163 135
1494   24   22     184 158 119
1495   24   23     185 148 99
1496   24   24     184 139 83
1497   24   25     185 139 81
1498   24   26     185 143 94
1499   24   27     183 147 112
1500   24   28     183 144 118
1501   24   29     182 142 119
1502   24   30     182 145 126
1503   24   31     183 154 140
1504   24   32     182 166 156
1505   24   33     185 166 153
1506   24   34     189 155 129
1507   24   35     199 129 89
1508   24   36     202 110 58
1509   24   37     201 102 51
1510   24   38     197 115 74
1511   24   39     187 140 110
1512   24   40     182 155 138
1513   24   41     181 157 143
1514   24   42     180 156 142
1515   24   43     181 157 143
1516   24   44     181 160 152
1517   24   45     179 158 150
1518   24   46     181 149 136
1519   24   47     186 135 117
1520   24   48     194 130 102
1521   24   49     198 134 102
1522   24   50     194 146 113
1523   24   51     189 156 127
1524   24   52     184 161 133
1525   24   53     188 158 133
1526   24   54     192 149 120
1527   24   55     198 138 101
1528   24   56     203 130 75
1529   24   57     207 128 57
1530   24   58     209 131 47
1531   24   59     211 130 43
1532   24   60     206 131 49
1533   24   61     205 132 65
1534   24   62     135 88  53
1546   25   10     107 105 99
1547   25   11     136 130 125
1548   25   12     165 155 143
1549   25   13     182 163 132
1550   25   14     190 163 106
1551   25   15     191 158 78
1552   25   16     193 154 66
1553   25   17     195 152 71
1554   25   18     201 150 85
1555   25   19     202 148 98
1556   25   20     200 148 98
1557   25   21     196 148 90
1558   25   22     193 140 73
1559   25   23     192 134 50
1560   25   24     195 124 35
1561   25   25     197 125 39
1562   25   26     192 130 56
1563   25   27     189 134 76
1564   25   28     181 134 89
1565   25   29     181 131 98
1566   25   30     182 139 112
1567   25   31     182 151 136
1568   25   32     183 163 150
1569   25   33     188 161 144
1570   25   34     197 143 116
1571   25   35     208 116 77
1572   25   36     217 94  43
1573   25   37     213 89  35
1574   25   38     206 104 59
1575   25   39     197 129 92
1576   25   40     194 143 116
1577   25   41     196 142 115
1578   25   42     196 137 113
1579   25   43     194 142 116
1580   25   44     191 153 135
1581   25   45     187 158 144
1582   25   46     190 153 131
1583   25   47     200 134 103
1584   25   48     212 121 77
1585   25   49     215 124 71
1586   25   50     210 140 88
1587   25   51     200 155 112
1588   25   52     194 162 122
1589   25   53     193 158 124
1590   25   54     197 150 115
1591   25   55     200 143 100
1592   25   56     201 139 83
1593   25   57     205 143 69
1594   25   58     207 146 58
1595   25   59     212 145 46
1596   25   60     208 145 45
1597   25   61     204 143 55
1598   25   62     132 96  44
1611   26   11     134 130 127
1612   26   12     164 154 140
1613   26   13     182 161 120
1614   26   14     194 162 86
1615   26   15     198 155 48
1616   26   16     200 148 33
1617   26   17     206 142 33
1618   26   18     209 139 53
1619   26   19     207 139 68
1620   26   20     206 140 71
1621   26   21     200 140 63
1622   26   22     198 135 45
1623   26   23     200 128 26
1624   26   24     201 123 16
1625   26   25     203 126 22
1626   26   26     196 129 46
1627   26   27     190 133 71
1628   26   28     181 134 89
1629   26   29     178 136 104
1630   26   30     180 144 121
1631   26   31     181 157 143
1632   26   32     184 164 151
1633   26   33     190 157 138
1634   26   34     201 140 106
1635   26   35     217 111 68
1636   26   36     224 93  41
1637   26   37     221 90  38
1638   26   38     212 105 62
1639   26   39     206 125 87
1640   26   40     208 136 97
1641   26   41     213 131 90
1642   26   42     216 126 84
1643   26   43     212 132 91
